genotype;genus;rye;total.amp.a;n.genes.a;freq.genes.a;n.pg.a;freq.pg.a;total.amp.g;n.genes.g;freq.genes.g;n.pg.g;freq.pg.g;total.epi.genes.a;total.p31_43.genes.a;total.a1a.genes.a;total.a1b.genes.a;total.a2.genes.a;total.a3.genes.a;total.dq33.genes.a;total.g.epi.g;total.g.g2a.g;total.g.g4e.g;total.g.w1.g;total.g.g4d.g;total.g.g4b.g;total.g.g1.g;total.g.g5.g;total.g.g4c.g;total.g.g3.g;total.g.g4a.g;total.g.g2b.g;total.g.hor2.g;p31_L;DQ2.5_glia_a1a;DQ2.5_glia_a1b;DQ2.5_glia_a2;DQ2.5_glia_a3;DQ2.5_33;type_1.1-1;type_1.1-2;type_1.2-4;type_1.3-6;DQ2.5_glia_g2a;DQ2.5_glia_g4e;DQ2.5_glia_w1;DQ2.5_glia_g4d;DQ2.5_glia_g4b;DQ2.5_glia_g1;DQ2.5_glia_g5;DQ2.5_glia_g4c;DQ2.5_glia_g3;DQ2.5_glia_g4a;DQ2.5_glia_g2b;DQ2.5_hor_2;NO;NO;Total_ab_alpha;Total_ab_gamma;Total_ab_sec;Omega;Alpha;Gamma;HMW;LMW;Total_gliadins;Total_glutenins;Prolamins;Gli_Glu;Variant_0;Variant_1_original;Variant_1_var;Variant_2_original;Variant_2_var;Variant_4;Variant_6;Variant_1;Variant_2;Variant_3;Variant_4;Variant_5;Variant_6;Variant_7;Variant_8;Variant_9;Variant_10;Variant_11;Variant_12;Variant_13;Variant_14;Variant_15;Variant_16;Variant_17;Variant_18;Variant_19;Variant_20;Variant_21;Variant_22;Variant_23;Variant_24;Variant_25;Variant_26;Variant_27;alpha_0;alpha_1;alpha_2;alpha_3;alpha_4;alpha_5;alpha_7;p31_43;gamma_0;gamma_3;gamma_4;gamma_5;gamma_6;gamma_7;gamma_9;gamma_10;gamma_11;gamma_12;gamma_13;gamma_14
CATEDRAL;DW;N;32;20;67.9;12;32.12;8;5;65.61;3;34.45;53;11;14;0;1;20;15;54;5;1;1;0;4;7;3;25;4;0;4;0;29.05;31.4;0;0.31;30;31.73;31.1;0.3;0;0;17.27;0;0;0;2.73;65.61;5.46;161;53.1;0;53.1;0;0;0;90.8;341.06;0;2.504731922;28.44901784;21.92452321;7.210387547;22.41827947;52.87827297;29.62866702;84.71675365;1.931205841;54464.5;645.5;8736.5;309.5;33569;5.5;1.5;117;0;0;143.5;21304.5;864;0;696;0;8985;19;0;52572.5;0;0;0;0;0;0;0;11906.5;0;19;0;0;2709.5;0;36.5;1.4;29.69;0.31;0;0;0;29.05;0;0;0.7;53.1;9.08;0;0;0;0;0;2.73;0
DMarioAtlax;BW;N;42;30;75.44;12;24.62;16;14;98.6;2;1.4;80;17;18;3;8;23;29;117;13;4;1;2;7;14;13;53;4;2;4;0;27.51;37;5.38;14.71;34.76;57.08;27.7;5;3.3;1.1;10.82;43.27;1.31;3.28;38.56;98.6;81.74;173.36;52.75;41.73;52.75;0;0;0;119.3;544.07;0;5.424431823;25.38528963;19.53380383;8.42187751;17.26695585;50.34352527;25.68883336;76.03235864;2.004160882;48983;2447;5428;4866;31380;3396;1015;34384.5;20.5;271.5;293.5;0;41540;61.5;1225.5;2104.5;1966;1563;0;11227;0;0;0;0;0;0;0;2091;0;0;1301;1101;272;283;37.4;1.04;27.67;5;3.28;0;1.05;27.51;0;0.28;1.24;47.83;1.98;45.18;0;0;0.27;1.55;0.27;0
DonPedro;DW;N;34;22;73.44;12;26.6;8;5;70.97;3;29.03;54;12;14;0;1;20;15;54;5;1;1;0;4;7;3;25;4;0;4;0;33.21;33.04;0;0.29;31.56;33.34;32.8;0.3;0;0;15.41;0;0;0;2.4;70.97;4.8;168.62;59.7;0;59.7;0;0;0;98.1;366.2;0;3.125367897;35.01885826;26.73787758;4.806483429;18.51884373;64.88210374;23.32532716;88.2074309;2.803051585;52817;720;8792;291.5;35234;5;0.5;29;0;0;0;16297.5;758;0;658.5;0;8152;61;0;59300.5;0;0;0;0;0;0;0;11756.5;0;0;32;0;2380;0;40.4;1.48;31.27;0.29;0;0;0;33.21;0;0;0.66;59.7;8.21;0;0;0;0;0;2.4;0
Escacena;BW;N;29;23;78.85;6;21.2;19;15;91.51;4;8.49;57;5;11;5;11;11;27;138;14;5;3;3;7;15;15;60;7;2;7;0;17.77;30.63;8.92;24.26;19.29;63.77;15.3;7.2;7.4;0.7;31.37;21.7;3.44;8.67;24.47;91.24;50.92;212.08;47.3;17.46;47.3;0;0;0;100.8;502.92;0;9.638532561;22.74614018;17.40698641;13.30468779;18.655606;49.79165915;31.96029379;81.75195294;1.621101075;67369.5;2.5;9;7226;14884.5;7156;720.5;17933.5;8.5;322;2263.5;56.5;17762;269;0;0;8708.5;4370;78;30040.5;0;0;0;0;0;0;0;8208.5;92;4231;402;3216;863;450.5;48.22;4.19;11.1;7.17;7.15;0.27;0.75;17.77;0;0.46;0;53.94;8.81;19.97;2.76;0;0.33;4.37;0.87;0
HT435;HT;N;32;20;74.25;12;25.8;8;5;67.2;3;32.9;50;11;13;0;0;19;13;54;5;1;1;0;4;7;3;25;4;0;4;0;34.25;33.72;0;0;32.39;33.7;33.7;0;0;0;13.31;0;0;0;1.83;67.2;3.66;157.86;57.05;0;57.05;0;0;0;100.3;344.61;0;4.758923134;27.50769187;19.99880182;4.558063549;13.10425361;52.26541682;17.66231716;69.92773399;3.243230729;53250;621.5;7679;181.5;36297.5;5;0.5;0;0;0;0;19024.5;694.5;0;490.5;0;7733.5;0;0;56411;0;0;0;0;0;0;0;12906;0;0;0;0;1810;0;40.53;1.33;32.39;0;0;0;0;34.25;0;0;0.5;57.05;7.82;0;0;0;0;0;1.83;0
HT444;HT;N;32;20;74.19;12;25.81;8;5;65.56;3;34.4;50;11;13;0;0;19;13;54;5;1;1;0;4;7;3;25;4;0;4;0;33.08;32.85;0;0;31.4;32.85;32.9;0;0;0;13.23;0;0;0;2.24;65.56;4.48;153.66;56.25;0;56.25;0;0;0;97.3;338.45;0;4.871581927;27.45708028;21.53276937;4.782513025;17.02838012;53.86143158;21.81089315;75.67232473;2.491163546;53539;605;8178.5;238;35415.5;3.5;0;0;0;0;0;21285;609.5;0;559.5;0;6452;0;0;55822;0;0;0;0;0;0;0;12287.5;0;0;0;0;2219;0;41.34;1.45;31.4;0;0;0;0;33.08;0;0;0.56;56.25;6.51;0;0;0;0;0;2.24;0
HT460;HT;N;31;19;72.32;12;27.7;8;5;68.54;3;31.51;48;13;12;0;1;16;13;54;5;1;1;0;4;7;3;25;4;0;4;0;33.42;23.81;0;0.77;25.08;24.57;23;0.8;0;0;11.49;0;0;0;1.89;68.54;3.78;156.61;60.5;0;60.5;0;0;0;83;351.82;0;4.692459892;29.84013613;18.03242859;4.32799688;15.90950512;52.56502462;20.237502;72.80252661;2.701794462;57897;2813.5;6710.5;739.5;28108;3.5;0;25.5;0;0;0;17909.5;782.5;0;329.5;0;5786.5;0;0;60138.5;0;0;0;0;0;0;0;12630.5;0;0;25.5;0;1877.5;0;47.24;1.27;23.04;0.77;0;0;0;33.42;0;0;0.33;60.5;5.82;0;0;0;0;0;1.89;0
INIACondor;BW;Y;40;28;75.73;12;24.26;14;10;93.25;4;6.78;86;17;19;5;11;24;35;74;11;4;0;1;2;7;12;33;1;1;1;1;26.39;35.2;5.17;14;33.45;54.38;26.4;4.8;2.8;1.2;35.36;46.25;0;10.38;29.16;85.84;103.91;195.73;36.6;36.6;36.6;0.26;0.26;0.26;114.2;616.74;0.78;6.254113421;25.76208662;19.7966425;11.28256702;26.17861894;51.81284253;37.46118596;89.27402849;1.433428032;51112.5;2526.5;5127.5;4679.5;29760;2925;1137.5;28717;5062.5;710.5;0;0;36382.5;0;0;0;307;8877.5;0;0;256;2048;385.5;863;385.5;0;0;10293.5;0;5103;0;0;0;0;39.49;1.04;26.37;4.85;2.79;0;1.19;26.39;2.06;0.26;0;39.28;0.31;36.6;5.09;0;0.72;8.65;0;0.28
Jerezano;BW;N;30;24;78.23;6;21.78;18;13;90.24;5;9.8;65;5;12;7;14;12;33;129;13;5;3;2;6;14;16;56;6;2;6;0;17.64;28.87;8.5;22.43;19.69;59.77;14.9;7.1;5.2;1.6;22.08;22.68;8.55;8.55;20.01;87.56;56.07;207.73;53.15;17.37;53.15;0;0;0;97.1;512.12;0;11.54736449;31.76169919;23.57240961;11.03998094;20.34320506;66.8814733;31.38318601;98.26465931;2.152871352;69256.5;4.5;11.5;7141.5;14620.5;5023;1594;14700.5;2768;390;0;0;18197.5;0;3548;0;134.5;5262.5;0;35873;0;0;0;0;0;0;0;4869.5;390.5;4857.5;4047;3250;1211;313.5;49.36;4.25;10.69;7.08;4.93;0.27;1.65;17.64;0;0.71;3.58;50.82;0;25.6;2.68;0;0.39;5.24;1.22;0
KleinDonEnrique;BW;Y;28;23;83.49;5;16.53;15;12;90.83;3;9.21;56;5;11;5;11;11;27;63;7;3;2;1;2;7;8;29;1;1;1;1;17.31;32.03;10.26;27.97;19.62;70.25;14.3;8.4;8.4;0.9;52.35;38.44;7.32;7.07;20.8;87.9;82.73;236.54;26.35;26.35;26.35;0.3;0.3;0.3;107.2;612.52;0.9;13.25815554;35.32362947;24.61349984;14.28426877;18.79740378;73.19528485;33.08167255;106.2769574;2.22598506;66272;3;11.5;8387.5;13944.5;8168.5;879;20407;0;635;0;0;26235;252;0;0;21004;11609;0;0;295;1812;0;971.5;644;274.5;274.5;7051.5;784.5;7575.5;0;0;0;0;51.46;4.27;10.05;8.36;8.14;0.3;0.91;17.31;2.38;1.09;0;20.5;21.1;33.67;0;0;0.64;11.45;0;0
KleinGavilan;BW;Y;28;23;80.64;5;19.38;13;10;91.95;3;8.02;56;5;11;5;11;11;27;54;7;3;0;1;2;7;7;23;1;1;1;1;16.63;30.23;9.45;25.75;18.7;65.46;13.9;7.7;7.7;0.9;33.57;40.07;0;6.58;29.87;89.47;82.94;193.12;33.05;33.05;33.05;0.27;0.27;0.27;100.8;575.04;0.81;12.1102151;31.80184049;26.74651526;14.65171747;19.70522369;70.65857084;34.35694115;105.015512;2.127600941;68080.5;1;12;7734;13677.5;7488;835;29469.5;47;763;0;0;32902.5;47;0;0;12896.5;6220.5;0;0;273;1935.5;0;733.5;364.5;0;271;6550;273;6874;0;0;0;0;50.41;4.08;9.85;7.71;7.45;0.28;0.86;16.63;2.21;0.54;0;36.18;12.95;33.05;0;0;0.77;6.25;0;0
KleinLeon;BW;N;41;29;76.34;12;23.68;16;15;99.68;1;0.33;78;17;18;3;8;23;29;112;10;4;3;2;7;16;9;48;6;1;6;0;26.4;36.6;6.14;16.21;33.41;58.95;26.5;4.9;4.1;1;33.94;20.36;9.24;9.24;28.99;99.68;40.7;250.68;55.6;11.3;55.6;0;0;0;118.7;561.02;0;8.264260459;24.2844947;16.62981942;6.109056067;13.64113446;49.17857458;19.75019052;68.92876511;2.511653615;49952;2288.5;5152;4788.5;30035.5;4265;956;8705;0;153.5;3277.5;0;11975;96.5;0;7235.5;6474;4813.5;3574.5;42653;0;0;0;0;0;0;0;4500.5;256.5;0;5045.5;0;1011.5;18.5;38.79;0.95;26.53;4.93;4.14;0;1;26.4;0;0.26;0;51.68;10.13;31.13;0;0.66;0;4.8;1.02;0
KleinRayo;BW;N;41;29;75.42;12;24.56;16;14;96.02;2;3.89;89;18;20;5;11;25;36;113;12;5;2;2;6;15;11;47;6;1;6;0;26.78;35.08;4.47;12.51;33.51;52.01;27;4.5;2.6;1;22.84;25.7;3.33;7.1;24.84;96.02;51.29;210.22;57.1;18.3;57.1;0;0;0;112.3;525.24;0;7.361545502;24.59690642;20.55490986;9.70875827;18.17208422;52.51336178;27.88084249;80.39420428;1.934784308;51221.5;2463;5126.5;4372.5;30319.5;2685;908;15922.5;72;318.5;2414.5;0;18542;213.5;0;0;6201;4126;2492.5;37511;0;0;0;0;0;0;0;4107.5;166.5;3573.5;3282;0;472.5;118;39.36;0.98;27.04;4.53;2.55;0;0.96;26.78;0;0;0;57.78;8.81;24.08;0;0.42;0.32;4.13;0.48;0
KleinRendidor;BW;N;25;23;87.28;2;12.77;15;13;98.56;2;1.38;59;6;13;5;13;10;31;107;11;4;3;2;6;14;11;47;4;1;4;0;27.64;49.49;15.71;43.26;30.72;108.44;21.9;13.2;13;1.4;24.43;20.28;10.01;10.01;21.8;98.56;51.33;227.91;56.6;13.35;56.6;0;0;0;166.8;546.17;0;11.86861083;32.01281449;29.50654015;10.8896692;18.23066411;73.38796547;29.12033332;102.5082988;2.624973105;48841.5;2;17;12677;21221;12456.5;1302;16152;31.5;391;266;34;14599.5;196.5;4281;31.5;2894.5;6480;34;42880.5;0;0;0;0;0;0;0;5643;587.5;0;4564;31.5;653;65.5;37.79;6.2;15.74;13.2;12.57;0.42;1.36;27.64;0;0.59;4.32;59.51;2.92;23.63;0;0;0.39;6.54;0.66;0
KleinTigre;BW;Y;39;27;71.59;12;28.48;14;10;88.63;4;11.34;87;16;19;5;11;24;35;68;8;3;1;1;2;6;11;32;1;1;1;1;25.38;36.12;4.77;13.27;34.46;54.17;27.6;4.7;2.8;1;45.18;41.93;11.15;11.15;25.68;78.83;106;222.6;28.3;28.3;28.3;0.58;0.58;0.58;114;627.91;1.74;11.74145002;31.70246185;21.91832243;12.66031644;14.84083031;65.36223431;27.50114675;92.86338106;2.421005978;46712.5;2565;5230;4495;32280.5;2844;945;24971.5;6711.5;1813;0;0;28079.5;0;0;0;0;11953.5;0;0;573;2431.5;255;1578;422;0;0;11080;645.5;9013;0;0;0;0;34.38;1.09;27.62;4.74;2.75;0;1.01;25.38;2.45;1.23;0;25.1;0;39.45;6.77;0;1.83;11.8;0;0
MarcosJuarez;BW;N;45;32;77.42;13;22.58;16;13;94.63;3;5.37;93;18;21;5;11;25;37;106;11;4;2;2;5;13;13;46;4;2;4;0;31.53;42.98;7.31;18.84;39.47;69.15;31.4;5.5;4.8;1.3;20.89;27.55;3.29;10.12;25.75;91.13;66.12;202.18;50.05;23.35;50.05;0;0;0;140.1;521.9;0;8.429053636;35.11785918;26.22313552;10.55388186;19.90098956;69.77004834;30.45487143;100.2249198;2.362887644;41554;2889.5;5833;5306.5;35175.5;4864.5;1225.5;21741.5;3644.5;403.5;0;0;23734.5;0;3360.5;0;54.5;4074.5;24;26750;0;0;0;0;0;0;0;7171;297;4135;3256.5;0;511.5;297;33.2;1.24;31.45;5.5;4.75;0;1.28;31.53;0;0.6;3.4;55.77;0;26.34;3.5;0;0.41;4.09;0.52;0
OlaetaArtillero;BW;N;25;23;87.8;2;12.25;18;15;94.78;3;5.25;59;6;13;5;13;10;31;133;12;5;2;2;8;15;17;59;6;1;6;0;26.69;50.48;18.79;48.15;32.21;117.45;21.1;13.5;13;2.9;26.11;21.76;5.34;11.58;19.19;94.31;48.06;215.03;54.15;16.25;54.15;0;0;0;176.4;518.01;0;7.940475895;32.14897617;29.26590558;8.10531568;14.06975215;69.35535764;22.17506783;91.53042547;3.384849353;47727;3;7.5;12921.5;20375;12427;2781.5;12475;0;523.5;377;0;17073.5;465;4917;0;3777;4952.5;0;37684;0;0;0;0;0;0;0;6722.5;55.5;0;4838;4290.5;1386.5;116.5;37.32;5.68;15.44;13.47;12.59;0.4;2.9;26.69;0;0;4.95;57.15;3.8;21.97;0;0;0.53;4.98;1.4;0
proINTAGaucho;BW;N;30;25;79.88;5;20.12;13;10;97.11;3;2.93;52;5;10;4;9;11;23;94;10;3;1;2;5;9;13;42;4;1;4;0;17.4;29.47;9.07;24.23;20.01;62.8;14.3;7.8;5.6;1.7;6.67;45.95;1.46;3.32;35.33;96.28;85.14;161.48;56.55;44.2;56.55;0;0;0;100.2;540.31;0;5.486466041;25.05353345;22.22796808;6.353605582;14.11307802;52.76796757;20.4666836;73.23465117;3.117524176;68678;4;10;7890;13995.5;5530;1677.5;33346;948.5;134.5;134.5;0;44022.5;0;783;0;103.5;1728;0;12155.5;0;0;0;0;0;0;0;1935;0;1117.5;1435;1473;224.5;127.5;50.41;4.13;10.18;7.82;5.33;0.28;1.73;17.4;0;0;0.79;47.92;0;45.66;0.83;0;0;1.75;0.16;0
proINTAGranar;BW;Y;28;23;79.69;5;20.28;12;9;92;3;8.01;55;4;11;5;11;11;27;51;7;3;0;1;2;6;7;21;1;1;1;1;13.16;31.03;11.1;28.08;19.83;70.23;14.1;7.6;7.7;1.7;34.36;41.81;0;7.24;26.21;89.9;79.63;192.49;35.7;35.7;35.7;0.26;0.26;0.26;103.2;579;0.78;10.76405727;27.00745761;25.17404114;15.56647548;21.81309431;62.94555602;37.37956979;100.3251258;1.897811033;67096;7.5;19.5;7631;13692;7447;1647;25540;0;345.5;0;0;35195;0;0;0;14682.5;5729;0;0;257.5;1467.5;0;893;257.5;0;352.5;7127;0;6717;0;0;0;0;48.66;3.76;10.29;7.58;7.44;0.26;1.7;13.16;1.84;0.26;0;33.19;14.9;35.7;0;0;0.35;5.76;0;0
proINTAGuazu;BW;Y;40;28;75.48;12;24.51;16;13;89.83;3;10.12;78;17;18;3;8;23;29;86;11;4;2;1;2;8;13;41;1;1;1;1;26.34;36.07;5.72;15.25;33.1;57.02;26.5;4.7;4;0.9;49.29;38.78;7.11;6.8;21.73;86.24;83.23;228.13;27.1;27.1;27.1;0.28;0.28;0.28;116.5;602.89;0.84;13.92638845;34.08165535;27.21195606;14.77312854;22.76395866;75.21999985;37.5370872;112.757087;2.018192995;50366.5;2383;5112;4527.5;30108;4104;827;21420;300;1265.5;0;0;27129;305;0;0;18408;10371;0;0;275;2291;0;1005;274;0;413.5;6769.5;755;8800.5;0;0;0;0;38.38;1.03;26.54;4.67;4;0;0.86;26.34;2.7;1.04;0;21.45;18.45;34.21;0.3;0;1.27;10.03;0;0.38
proINTAOasis;BW;Y;30;25;80.6;5;19.34;19;15;88.28;4;11.75;50;6;10;3;8;11;21;96;12;4;0;1;4;10;16;45;1;1;1;1;17.46;30.03;8.8;24.31;19.01;63.11;14.5;7.6;7.1;0.8;52.65;44;0;14.7;17.35;76.26;104.68;215.85;29.3;29.3;29.3;0.39;0.39;0.39;99.6;613.78;1.17;15.59843347;34.14259078;24.02414177;12.02046629;17.14217487;73.76516603;29.16264116;102.9278072;2.560548797;68025.5;3.5;14.5;7525.5;14198;7319;819.5;16976.5;7840.5;1396;0;0;29261;0;0;0;288;13266;0;0;386.5;3456.5;264;893.5;1162.5;299;0;14721;309;9374.5;0;0;0;0;50.57;3.92;10.6;7.56;7.1;0;0.85;17.46;3.77;0.7;0;31.66;0.29;29.3;7.86;0;1.4;12.9;0;0.4
RelmoSiriri;BW;N;41;29;74.61;12;25.35;18;15;94.62;3;5.4;80;17;18;3;8;23;29;130;14;4;3;3;7;15;14;59;5;1;5;0;27.19;34.64;3.66;11.27;32.98;49.6;27;4.4;2.7;0.5;18.15;21.5;1.96;4.73;19.63;94.35;45.45;198.53;63.45;17.9;63.45;0;0;0;109.8;509.44;0;6.114843692;25.03110575;22.05350916;9.492621581;19.84198821;53.1994586;29.33460979;82.53406839;1.826910839;50715.5;2531.5;5139.5;4265.5;30611;2866.5;448.5;16272.5;0;388.5;1329;0;18866;271;0;0;4326;3212;0;45069;0;0;0;0;0;0;0;4522;254;2483.5;293.5;1894;266;199;38.91;1.06;27.03;4.42;2.72;0;0.47;27.19;0;0.26;0;64.92;4.37;19.81;1.39;0;0.39;3.21;0.27;0
THA85;BW;N;40;27;72.33;13;27.64;13;10;90.61;3;9.36;67;18;17;0;2;22;19;90;11;4;1;1;3;11;10;38;5;1;5;0;27.63;31.39;0;3.83;32.48;35.21;27.5;3.8;0;0;25.65;30.44;0;5.15;19.93;90.61;61.31;190.68;52.2;25.05;52.2;0;0;0;95.3;497.12;0;6.25749393;35.38597833;19.23541843;10.68985022;23.36868629;60.87889069;34.05853651;94.93742721;1.820232503;53581;2734;5465.5;3880;31683;5.5;8.5;19097;0;513;51;0;25155.5;179.5;255.5;0;7586;4916;25.5;26808;0;0;0;0;0;0;0;9140.5;102.5;4835.5;0;0;667;77.5;39.85;1.09;27.56;3.83;0;0;0;27.63;0;0;0.26;51.55;7.68;25.05;0;0;0.52;4.87;0.68;0
XEIXA;BW;N;31;25;80.45;6;19.57;22;18;92.44;4;7.56;57;5;11;5;11;11;27;154;14;6;2;2;8;18;19;67;8;2;8;0;17.51;31.27;10.83;27.32;19.87;69.41;14.8;7.2;7.7;1.6;28.45;23.04;3.61;10.56;17.09;89.46;56.6;215.98;53.66;16.15;53.66;0;0;0;106.8;516.67;0;8.112325663;25.62906621;23.50574752;4.645958211;11.48406223;57.24827315;16.13002045;73.37829359;3.750951142;66342.5;1;13.5;7329.5;14346;7433.5;1489;11815;2957.5;840.5;386.5;0;17479;0;3899.5;24.5;484;6357;24.5;37205;0;0;0;0;0;0;0;7206.5;205.5;5526;3573.5;0;1121.5;349;49.18;3.94;10.84;7.21;7.46;0.27;1.55;17.51;0;0.35;3.94;56.5;0.49;19.8;2.98;0.13;0.85;6.26;1.14;0
