genotype;genus;rye;total.amp.a;n.genes.a;freq.genes.a;n.pg.a;freq.pg.a;total.amp.g;n.genes.g;freq.genes.g;n.pg.g;freq.pg.g;total.epi.genes.a;total.p31_43.genes.a;total.a1a.genes.a;total.a1b.genes.a;total.a2.genes.a;total.a3.genes.a;total.dq33.genes.a;total.g.epi.g;total.g.g2a.g;total.g.g4e.g;total.g.w1.g;total.g.g4d.g;total.g.g4b.g;total.g.g1.g;total.g.g5.g;total.g.g4c.g;total.g.g3.g;total.g.g4a.g;total.g.g2b.g;total.g.hor2.g;p31_L;DQ2.5_glia_a1a;DQ2.5_glia_a1b;DQ2.5_glia_a2;DQ2.5_glia_a3;DQ2.5_33;type_1.1-1;type_1.1-2;type_1.2-4;type_1.3-6;DQ2.5_glia_g2a;DQ2.5_glia_g4e;DQ2.5_glia_w1;DQ2.5_glia_g4d;DQ2.5_glia_g4b;DQ2.5_glia_g1;DQ2.5_glia_g5;DQ2.5_glia_g4c;DQ2.5_glia_g3;DQ2.5_glia_g4a;DQ2.5_glia_g2b;DQ2.5_hor_2;NO;NO;Total_ab_alpha;Total_ab_gamma;Total_ab_sec;Omega;Alpha;Gamma;HMW;LMW;Total_gliadins;Total_glutenins;Prolamins;Gli_Glu;Variant_0;Variant_1_original;Variant_1_var;Variant_2_original;Variant_2_var;Variant_4;Variant_6;Variant_1;Variant_2;Variant_3;Variant_4;Variant_5;Variant_6;Variant_7;Variant_8;Variant_9;Variant_10;Variant_11;Variant_12;Variant_13;Variant_14;Variant_15;Variant_16;Variant_17;Variant_18;Variant_19;Variant_20;Variant_21;Variant_22;Variant_23;Variant_24;Variant_25;Variant_26;Variant_27;alpha_0;alpha_1;alpha_2;alpha_3;alpha_4;alpha_5;alpha_7;p31_43;gamma_0;gamma_3;gamma_4;gamma_5;gamma_6;gamma_7;gamma_9;gamma_10;gamma_11;gamma_12;gamma_13;gamma_14
BIOINTA1001;BW;Y;29;24;80.57;5;19.42;12;8;87.24;4;12.78;51;5;10;4;9;11;23;55;6;3;0;1;4;7;7;23;1;1;1;1;16.83;30.49;9.69;26.04;19.14;66.19;14.1;7.6;7.8;0.9;28.16;45.04;0;6.92;28.72;85.47;89.24;168.65;36.95;36.95;36.95;0.27;0.27;0.27;102.2;563.41;0.81;11.92639242;28.90139827;26.50983616;12.66135705;17.15192906;67.33762685;29.81328611;97.15091296;2.311135133;67280.5;2.5;8.5;7715.5;13737;7759;904.5;28346.5;0;432.5;0;11269.5;36711.5;0;0;0;5027.5;7623;0;0;272.5;1496.5;276.5;772.5;366.5;0;0;6921;0;0;0;0;48.5;0;50.08;3.84;10.3;7.6;7.51;0.3;0.94;16.83;1.5;0.27;0;35.37;5.06;36.95;0;0;0.43;7.66;0;0
BIOINTA1004;BW;N;25;21;84.62;4;15.32;18;14;92.56;4;7.46;48;4;9;4;9;10;22;133;14;5;3;3;7;15;14;57;7;1;7;0;17.48;31.69;9.99;27.17;20.32;68.89;14.5;8.5;7.4;1.3;31.56;15.49;7.7;7.7;16.34;92.56;36.7;228.05;56.5;10.2;56.5;0;0;0;106.7;512.15;0;10.98057966;36.04174946;23.69688993;13.184355;23.44671753;70.71921904;36.63107253;107.3502916;1.946059673;66742;5;10;8483.5;14371.5;7272;1275;9986;0;270.5;2245.5;0;11138;0;0;0;9850.5;5001.5;0;46131;0;0;0;0;0;0;0;7368;514.5;3677;284.5;2789;473.5;0;52.93;4.32;10.19;8.5;7.05;0.32;1.31;17.48;0;0.52;0;56.24;9.88;16.77;3.38;0;0.27;5.02;0.48;0
BIOINTA1005;BW;N;40;28;76.82;12;23.27;14;12;96.79;2;3.18;86;17;19;5;11;24;35;92;10;3;2;2;6;13;8;39;4;1;4;0;26.85;36.42;5.76;15.07;34.49;57.2;27.1;5;2.9;1.4;23.5;24.44;2.61;5.83;21.18;96.79;47.17;212.84;59.67;19.2;59.67;0;0;0;118.5;524.9;0;8.78796442;25.84956182;22.85522641;9.286492651;18.52108697;57.49275265;27.80757962;85.30033226;2.15119868;50206;2602;5059.5;4817;30482.5;3103.5;1345.5;14092.5;0;138.5;2358.5;0;19170.5;0;0;0;8860;3752;1457;40109;0;0;0;0;0;0;0;3530;113;2892.5;2585.5;51.5;462.5;0;39.39;1.01;27.11;4.96;2.94;0;1.41;26.85;0;0;0;57.94;10.42;24.19;0;0;0;3.77;0.47;0
BIOINTA2004;BW;Y;39;30;78.37;9;21.61;20;16;94.5;4;5.53;87;18;21;5;11;22;37;125;12;5;3;3;7;14;14;52;7;1;7;0;35.42;48.15;7.48;20.12;45.45;75.8;35.5;6.9;4;1.8;21.65;15.35;7.35;7.35;19.78;85.5;37.89;194.12;57.55;10.85;57.55;0;0;0;156.7;514.9;0;8.822859167;20.8320895;21.75295975;10.20556213;25.66624903;51.40790841;35.87181115;87.27971957;1.515371156;34371;3366.5;6711;6726;39922;4218.5;1680.5;12008;0;318.5;2911.5;0;12408;0;0;0;30.5;4167;0;46503;0;8419.5;0;935;0;281;272.5;6871;268;0;469;2961.5;947.5;0;28.94;1.28;35.51;6.91;3.98;0;1.75;35.42;9;0.27;0;58.66;0;17.64;3.48;0;0.32;4.18;0.95;0
BuckBaqueano;BW;Y;22;21;88.47;1;11.45;15;11;90.84;4;9.12;53;5;12;5;12;9;29;72;10;4;1;1;2;7;11;32;1;1;1;1;26.68;50.59;17.15;46.46;31.34;114.2;21.3;13.9;13.8;1.7;59.15;37.04;0.57;10.55;18.05;87.19;80.92;237.42;23.8;23.8;23.8;0.3;0.3;0.3;172.2;602.58;0.9;11.45648202;27.43359154;20.73312989;12.32685712;23.44505792;59.62320345;35.77191505;95.39511849;1.788223602;48153;3;17.5;13538.5;20686;13328.5;1645.5;17641;0;913.5;0;0;23615.5;567;0;0;21714.5;12279.5;0;0;296.5;2497;280;678;346.5;0;259;10459.5;0;7756.5;0;0;0;0;37.88;6;15.28;13.86;13.25;0.5;1.7;26.68;2.78;0.3;0;28.3;21.85;24.37;0;0;0.92;12.05;0;0.27
BuckBrasil;BW;N;40;29;77.76;11;22.26;17;15;95.6;2;4.4;84;17;18;5;11;23;34;120;12;4;1;2;8;15;15;54;4;1;4;0;26.71;37.1;6.47;16.48;33.83;60.05;27.1;4.6;4.2;1.1;38.24;21.22;3.82;10.99;22.61;95.6;45.54;238.26;47.05;14.65;47.05;0;0;0;120.6;525.44;0;9.508304999;33.07011772;20.66806613;11.8539991;25.70157818;63.24648884;37.55557728;100.8020661;1.719298131;51447;2452;4956;4491;28667;4325;1065.5;10329.5;0;412;149;28.5;15416.5;89;3444.5;7694;8341;6185;0;32108;0;0;0;0;0;0;0;7189.5;299;0;3774.5;3641;571;28.5;39.68;0.98;27.09;4.65;4.25;0;1.11;26.71;0;0.3;3.48;50.01;8.42;26.24;0;0;0.42;6.15;0.58;0
BuckHuanchen;BW;Y;26;21;80.4;5;19.56;16;12;83.44;4;16.61;47;4;9;4;9;9;22;79;9;3;0;1;3;9;13;38;1;1;1;0;15.38;28.38;9;24.72;17.25;62.07;12.7;7.5;7.4;0.8;44.52;42.79;0;12.3;17.65;73.88;97.67;199.25;30.75;30.75;30.75;0;0;0;94.7;580.26;0;8.496157488;25.69964655;18.70191724;11.21580766;18.06732759;52.89772128;29.28313525;82.18085653;1.800083447;69681;3;8.5;7508.5;12528.5;7341;780;17741.5;7446.5;1767;0;0;30695;0;0;0;678;10392;0;0;0;2092.5;261;1003.5;538.5;0;0;12382.5;459;14735;0;0;0;0;52.02;3.75;8.91;7.53;7.38;0;0.81;15.38;2.1;0.46;0;29.95;0.68;30.75;7.46;0;1.77;10.27;0;0
BuckNorteno;BW;Y;27;22;81.63;5;18.43;17;14;89.07;3;11.03;51;5;10;4;9;11;23;84;9;3;0;1;5;9;14;39;1;1;1;1;16.99;30.59;9.44;25.73;19.09;65.72;14.3;7.7;7.6;0.9;45.88;45.97;0;12.8;18.53;77.3;104.06;207.41;33.65;33.65;33.65;0.38;0.38;0.38;101.8;613.29;1.14;12.68096434;26.20146936;23.71469909;17.13722242;28.49761607;62.59713279;45.63483849;108.2319713;1.459356263;67667;2.5;8;7760.5;13908;7584.5;865;18018.5;8005;815.5;0;0;33408.5;0;0;0;373;11404.5;0;0;373;3044;0;815.5;673.5;258.5;0;12707;148.5;9445;0;0;0;0;51.04;4.13;10.17;7.75;7.37;0.27;0.9;16.99;3.33;0.38;0;30.95;0.38;33.65;8.06;0;0.82;11.5;0;0
BuckPuelche;BW;Y;27;23;83.62;4;16.41;15;11;89.4;4;10.63;51;4;10;4;9;11;23;69;9;3;0;1;1;7;11;34;1;1;1;0;13.25;32.13;11.59;29.61;20.5;73.37;14.1;8.3;7.9;1.9;45.76;41.71;0;14.9;21.65;79.48;98.91;205.25;30;30;30;0;0;0;107.1;597.6;0;13.39348792;32.10966505;24.5119212;13.60135037;16.84133221;70.01507417;30.44268259;100.4577568;2.303665996;65886.5;3.5;13.5;8376.5;13773;7853.5;1796;21528;6511;1001.5;0;0;29843.5;0;0;0;861;10716;0;0;0;3056.5;286;1128.5;328;281;0;14889.5;353.5;8836.5;0;0;0;0;51.49;4.04;10.07;8.29;7.59;0.28;1.86;13.25;3.35;0.35;0;36.55;0.87;30;6.57;0;1.01;10.7;0;0
Bulel;HT;N;32;20;74.09;12;25.91;8;5;72.14;3;27.9;50;11;13;0;0;19;13;54;5;1;1;0;4;7;3;25;4;0;4;0;34.06;33.61;0;0;32.28;33.61;33.6;0;0;0;14.25;0;0;0;2.21;72.14;4.42;168.72;61.95;0;61.95;0;0;0;100;371.31;0;5.261997014;26.01099495;20.16579047;4.579257916;22.11769607;51.43878243;26.69695398;78.13573641;1.956964237;52860.5;652;8101;185;36077.5;9;2;140;0;0;70;18085.5;561.5;0;351.5;0;7509.5;0;0;61066;0;0;0;0;0;0;0;8953;0;0;0;0;2177;0;40.48;1.33;32.28;0;0;0;0;34.06;0;0;0.36;61.95;7.62;0;0;0;0;0;2.21;0
